category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
outdoor,Tertill,Tertill,~350 USD,~2.5 kg,,Solar powered,,autonomous-nav;consumer,none,,,,,,,https://tertill.com/,images/household/tertill-tertill.webp,,,"Autonomous garden weeding, weather resistant",2019
outdoor,Aiper,Seagull Pro,~900 USD,~10 kg,,~3 hours,,consumer;pool-clean,none,,,,,,,https://www.aiper.com/,images/household/aiper-seagull-pro.webp,https://www.youtube.com/embed/W__zm1a-_oU,,"Cordless pool cleaning, quad-motor system",2023
outdoor,Aiper,Aiper Horizon U1,999 USD,16 kg,,,,app-control;autonomous-nav;consumer;lawn-mow,none,,,,,,,https://www.aiper.com/,images/household/aiper-aiper-horizon-u1.webp,https://www.youtube.com/embed/W__zm1a-_oU,,"Autonomous mowing, app control",2024
outdoor,Aiper,Aiper Surfer S1,599 USD,3.4 kg,,up to 12 hours,,consumer;pool-clean,none,,,,,,,https://www.aiper.com/,images/household/aiper-aiper-surfer-s1.webp,https://www.youtube.com/embed/W__zm1a-_oU,,"Pool surface cleaning, wireless operation",2024
outdoor,Aiper,Aiper Scuba S1,799 USD,7.3 kg,,up to 180 min,,consumer;pool-clean,none,,,,,,,https://www.aiper.com/,images/household/aiper-aiper-scuba-s1.webp,https://www.youtube.com/embed/W__zm1a-_oU,,Pool floor and wall cleaning,2024
outdoor,Beatbot,AquaSense Pro,1199 USD,11.4 kg,45x40x26 cm,up to 5 hours,,consumer;pool-clean,none,,,,,,,https://beatbot.com/,images/outdoor/beatbot-aquasense-pro.webp,,,"Intelligent navigation, pool interior cleaning",2024
outdoor,Yarbo,Yarbo Snow Blower,2499 USD,35 kg,106x72x74 cm,up to 90 min,,autonomous-nav;consumer,none,,,,,,,https://www.yarbo.com/,images/household/yarbo-yarbo-snow-blower.webp,https://www.youtube.com/embed/8C1kjZNcKtA,,"Autonomous snow clearing, GPS navigation",2022
outdoor,Yarbo,Yarbo Lawn Mower,1999 USD,~43 kg,,120-210 min,,ai-powered;all-terrain;autonomous-nav;consumer;lawn-mow,none,,,0.65 m/s,,,,https://www.yarbo.com/,images/household/yarbo-yarbo-lawn-mower.webp,https://www.youtube.com/embed/8C1kjZNcKtA,,"Autonomous mowing, multi-terrain capability",2022
outdoor,Yarbo,Yarbo Blower,1499 USD,~43 kg,,up to 70 min,,autonomous-nav;consumer,none,,,,,,,https://www.yarbo.com/,images/household/yarbo-yarbo-blower.webp,https://www.youtube.com/embed/8C1kjZNcKtA,,"Autonomous leaf blowing, GPS control",2022
outdoor,Husqvarna,Automower 430X NERA,2499 EUR,13.5 kg,medium,145 min,145 min,app-control;consumer;lawn-mow;wifi,none,,,,,,,https://www.husqvarna.com/,images/household/husqvarna-automower-430x-nera.webp,,,"3200 sqm capacity, EPOS satellite, 50% slope, Automower Connect app, 56 dB",2023
outdoor,Gardena,Smart Sileno Free 600,1499 EUR,7 kg,small,65 min,65 min,ai-powered;consumer;lawn-mow;wifi,none,,,,,,,https://www.gardena.com/,images/household/gardena-smart-sileno-free-600.webp,,,"Wire-free satellite navigation, LONA AI, 58 dB, 30% slope",2024
outdoor,Segway,Navimow X4,2499 USD,~20 kg,large,~5 hours,300 min,consumer;lawn-mow;lidar;visual-slam;wifi,none,,,,,,,https://navimow.com/,images/household/segway-navimow-x4.webp,,,"AWD, dual 180W motors, RTK + visual SLAM + LiDAR, 17 inch cutting width",2026
outdoor,EcoFlow,Blade,2899 USD,16.2 kg,medium,4 hours,240 min,consumer;lawn-mow;lidar;monitoring;obstacle-avoidance;wifi,none,,,,,IPX5,,https://www.ecoflow.com/,images/household/ecoflow-blade.webp,,,"X-Vision obstacle avoidance, GNSS, LiDAR, camera, 260mm cutting width",2023
outdoor,Mammotion,LUBA 3 AWD,2399 USD,~25 kg,large,~8 hours,480 min,ai-powered;cellular;consumer;lawn-mow;lidar,none,,,,,,,https://us.mammotion.com/,images/household/mammotion-luba-3-awd.webp,,,"Tri-Fusion Navigation (LiDAR+RTK+AI Vision), 4WD, dual 165W motors, 15.8 inch cutting",2026
outdoor,Maytronics,Dolphin M500,1599 EUR,12.23 kg,medium,2.5 hours,150 min,app-control;consumer;pool-clean;wifi,none,,,,,,,https://www.maytronics.com/,images/household/maytronics-dolphin-m500.webp,,,"MyDolphin Plus app, gyroscopic navigation, dual filtration, pools up to 15m",2017
outdoor,ECOVACS,GOAT A3000 LiDAR,2100 USD,~15 kg,medium,~2 hours,,ai-powered;consumer;lawn-mow;lidar;obstacle-avoidance;wifi,none,,,0.7 m/s,Lawn,IPX6,,https://www.ecovacs.com/us/goat-robotic-lawn-mower/goat-a3000-lidar,images/household/ecovacs-goat-a3000-lidar.webp,,,"360-degree LiDAR, dual cutting blades, 13-inch width, AIVI 3D, 200+ obstacle types",2025
outdoor,ECOVACS,GOAT O1000 RTK,1000 USD,~10 kg,small,~2 hours,,consumer;lawn-mow;lidar;wifi,none,,,,,IPX6,,https://www.ecovacs.com/us/goat-robotic-lawn-mower/goat-o1000-rtk,images/household/ecovacs-goat-o1000-rtk.webp,,,"RTK + LiDAR navigation, 0.8-inch precision, 45% slope, wire-free",2025
outdoor,Segway,Navimow X3 Series,2299-4999 USD,20 kg,medium,4 hours,240 min,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging;mapping,none,,,,Slopes up to 27° (50%),IP66,,https://navimow.com/pages/navimow-x3,images/outdoor/segway-navimow-x3-series.webp,,,"RTK+AI vision wire-free mower, 0.5-2.5 acre models, 27° slopes, 60 dB, IP66, up to 240 min runtime",2025
outdoor,Segway,Navimow i110N,1299 USD,10.9 kg,medium,120 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,Slopes up to 30%,,,https://navimow.com/products/navimow-i110,images/outdoor/segway-navimow-i110n.webp,,,"RTK+vision mower for 0.25 acre, 140° AI camera detects 150+ obstacles, 30% slopes, 58 dB",2024
outdoor,Mammotion,LUBA mini AWD,1999 USD,,medium,160 minutes,160 min,consumer;lawn-mow;all-terrain;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,"80% slopes, 8 cm obstacles",,,https://us.mammotion.com/products/luba-mini-awd-robot-lawn-mower,images/outdoor/mammotion-luba-mini-awd.webp,,,"AWD mower for 0.37 acre, 80% slopes, NetRTK+AI vision, dual cutting discs, 160 min runtime",2025
outdoor,Mammotion,YUKA mini 2,1399 USD,11 kg,medium,,,consumer;lawn-mow;lidar;autonomous-nav;obstacle-avoidance;app-control;self-charging,none,,,,Slopes up to 45%,,,https://us.mammotion.com/,images/outdoor/mammotion-yuka-mini-2.webp,,,"Compact 360° LiDAR mower for 0.25 acre, RWD, 45% slopes, 19 cm cutting disc, 11 kg",2026
outdoor,Mammotion,YUKA 2000,1799 USD,~22 kg,medium,~90 min,,consumer;lawn-mow;ai-powered;autonomous-nav;obstacle-avoidance;app-control;self-charging;mapping,none,,,,Slopes up to 45%,,,https://us.mammotion.com/products/yuka-robot-lawn-mower,images/outdoor/mammotion-yuka-2000.webp,,,"3D vision+RTK mower for 0.5 acre, 45% slopes, 32 cm dual discs, optional self-emptying sweeper kit",2025
