category,manufacturer,model,price,weight,size,batteryLife,maxRuntime,tags,handType,dof,payload,speed,terrain,ipRating,ageRange,website,image,video,gallery,description,releaseDate
robotic-arm,Dobot,Magician,~1695 USD,3.4 kg,medium,,,educational;programmable;dev-platform;stem;robotic-arm,gripper,4,0.5 kg,Not disclosed,,,,https://www.dobot-robots.com/products/education/magician.html,images/robotic-arm/dobot-magician.webp,,,"Multifunctional 4-axis desktop arm for STEM, supports drag-teach and Python.",2016
robotic-arm,Dobot,Magician Lite,~995 USD,2.4 kg,medium,,,educational;programmable;dev-platform;stem;robotic-arm,gripper,4,0.25 kg,Not disclosed,,,,https://www.dobot-robots.com/products/education/magician-lite.html,images/robotic-arm/dobot-magician-lite.webp,,,Lightweight K12 4-axis arm with Magic Box controller and collision detection.,2019
robotic-arm,Elephant Robotics,myCobot 280 M5,~639 USD,850 g,small,,,educational;programmable;dev-platform;research;robotic-arm,gripper,6,0.25 kg,Not disclosed,,,,https://shop.elephantrobotics.com/products/mycobot-worlds-smallest-and-lightest-six-axis-collaborative-robot,images/robotic-arm/elephant-robotics-mycobot-280-m5.webp,,,One of the world's smallest 6-axis collaborative arms for education.,2020
robotic-arm,Elephant Robotics,myCobot 320 M5,~4695 USD,3.36 kg,medium,,,educational;programmable;research;dev-platform;robotic-arm,gripper,6,1 kg,Not disclosed,,,,https://shop.elephantrobotics.com/products/mycobot-320-programmable-robot-arm-kit,images/robotic-arm/elephant-robotics-mycobot-320-m5.webp,,,6-DoF desktop cobot with 350mm reach for makers and researchers.,2020
robotic-arm,WLkata,Mirobot,~1540 USD,1.5 kg,small,,,educational;programmable;stem;dev-platform;robotic-arm,gripper,6,0.15 kg,Not disclosed,,,,https://www.wlkata.com/products/wlkata-best-6-axis-stem-educational-robot-arm-kit,images/robotic-arm/wlkata-mirobot.webp,,,6-axis mini industrial arm for education with Blockly and Python.,2018
robotic-arm,Rotrics,DexArm,Not disclosed,Not disclosed,175x128x315 cm,,,educational;programmable;maker;dev-platform;robotic-arm,gripper,4,0.5 kg,0.5 m/s,,,,https://rotrics.com/products/dexarm,images/robotic-arm/rotrics-dexarm.webp,,,All-in-one desktop arm with swappable toolheads for printing and engraving.,2019
robotic-arm,UFACTORY,uArm Swift Pro,749 USD,2.2 kg,150x140x281 cm,,,educational;programmable;maker;dev-platform;robotic-arm,gripper,4,0.5 kg,0.5 m/s,,,,https://store.ufactory.cc/products/uarm-swift-pro-main-body-accessories-excluded,images/robotic-arm/ufactory-uarm-swift-pro.webp,,,"Open-source 4-DoF aluminum arm for STEAM, printing and engraving.",2016
robotic-arm,Hiwonder,xArm 2.0,Not disclosed,Not disclosed,small,,,educational;programmable;stem;dev-platform;robotic-arm,gripper,6,Not disclosed,Not disclosed,,,,https://www.hiwonder.com/products/xarm2-0,images/robotic-arm/hiwonder-xarm-2-0.webp,,,6-DoF programmable arm with sensors supporting Scratch and Python.,
robotic-arm,Hiwonder,ArmPi FPV,Not disclosed,Not disclosed,small,,,educational;programmable;ai-powered;research;robotic-arm,gripper,6,Not disclosed,Not disclosed,,,,https://www.hiwonder.com/products/armpi-fpv,images/robotic-arm/hiwonder-armpi-fpv.webp,,,ROS Raspberry Pi arm with wide-angle camera for AI vision learning.,
robotic-arm,Hiwonder,LeArm AI,Not disclosed,Not disclosed,small,,,educational;programmable;ai-powered;dev-platform;robotic-arm,gripper,6,Not disclosed,Not disclosed,,,,https://www.hiwonder.com/products/learm-ai,images/robotic-arm/hiwonder-learm-ai.webp,,,ESP32 open-source arm with AI vision and voice interaction support.,2025
