manufacturer,model,price,weight,batteryLife,features,website,image
Anki,Vector by Anki,"~249 USD",N/A,N/A,"Voice control, AI assistance",https://anki.com/en-us/vector.html,N/A
Energize Lab,Eilik by Energize Lab,"~199 USD",N/A,N/A,"Emotional interaction, touch response",https://energizelab.com/consumerview/eilik,images/table/Eilik.jpg
Anki,Cozmo by Anki,"~179 USD",N/A,N/A,"Educational programming, interactive games",https://anki.com/en-us/cozmo.html,N/A
Consequential Robotics,Miro by Consequential Robotics,"~2000 USD",N/A,N/A,"Emotional engagement, sensory response",https://consequentialrobotics.com/miro,N/A
Modular Robotics,MOSS by Modular Robotics,"~149 USD",N/A,N/A,"Modular design, easy to assemble",https://www.modrobotics.com/moss/,N/A
Sharp,RoboHon by Sharp,"~1800 USD",N/A,N/A,"Mobile phone capabilities, interactive engagement",https://robohon.com/,N/A
Sphero,Sphero Mini,"~49 USD",N/A,N/A,"Programmable, gaming functions",https://sphero.com/products/sphero-mini,N/A
Ozobot,Ozobot,"~59 USD",N/A,N/A,"Coding education, color & line detection",https://ozobot.com/,N/A
Living.AI,EMO by Living.AI,"~299 USD",N/A,N/A,"AI-powered interaction, emotional display",https://living.ai/emo/,N/A
Elephant Robotics,MarsCat,"~249 USD","~1 kg","~3 hours","Autonomous movement, touch sensors, voice recognition",https://www.elephantrobotics.com/en/mars-cat/,images/table/marscat.png
Elephant Robotics,myCobot,"~700 USD","~850 g","~2 hours","6 DOF robotic arm, programmable, multiple end effectors",https://www.elephantrobotics.com/en/mycobot/,images/table/mycobot.jpg
Elephant Robotics,myPalletizer,"~599 USD","~1 kg","~2 hours","4 DOF robotic arm, 500g payload, programmable",https://www.elephantrobotics.com/en/mypalletizer/,images/table/mypalletizer.jpg
Franka Emika,Panda,"~17,800 USD","~18 kg","N/A (wall powered)","7 DOF robotic arm, force sensing, 3kg payload",https://www.franka.de/,images/table/panda.jpg
Dobot,Magician,"~1,500 USD","~2 kg","N/A (wall powered)","4 DOF robotic arm, 500g payload, multiple end effectors",https://www.dobot.cc/dobot-magician/product-overview.html,images/table/magician.jpg
Dobot,MG400,"~5,000 USD","~8 kg","N/A (wall powered)","4 DOF robotic arm, 750g payload, industrial grade",https://www.dobot.cc/products/mg400-overview.html,images/table/mg400.jpg
